city,country,latitude,longitude,property_name,property_type,site_review_rating,state,traveller_rating,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.229457,76.327405,Pride Surya Mountain Resort,Hotel,,,Location:4.5/5 | Hospitality:3.6/5 | Facilities:3.4/5 | Cleanliness:3.9/5 | Value for Money:3.6/5 | Food:3.4/5,,,,,,,,,,,,,,,,,,,
Samode,India,0,0,Raj Haveli,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.57127,73.691544,Hotel Panorma Guest House,Hotel,,,Location:4.8/5 | Hospitality:4.5/5 | Facilities:4/5 | Cleanliness:4.2/5 | Value for Money:4.5/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Muvattupuzha,India,0,0,Zeneith homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,13.314376,75.770816,Travelers Bungalow Homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.560496,73.654664,Mountain Ridge,Hotel,,,,,,,,,,,,,,,,,,,,,,
Silchar,India,24.826,92.797,Hotel Borail View,Hotel,,,Location:4.5/5 | Hospitality:4/5 | Facilities:4/5 | Cleanliness:4/5 | Value for Money:4/5 | Food:4/5,,,,,,,,,,,,,,,,,,,
Varanasi,India,25.307481,83.004387,Subh Laxmi PAying Guest House,Hotel,,,,,,,,,,,,,,,,,,,,,,
Dapoli,India,17.780258,73.114559,Lotus Beach Resort-Murud Harnai,Hotel,,,Location:4.7/5 | Hospitality:4.6/5 | Facilities:4.3/5 | Cleanliness:4.6/5 | Value for Money:4.5/5 | Food:4/5,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.115956,91.79831,HOTEL RUDRAKSH INN,Hotel,,,,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.244113,76.332866,Hotel Bhagsu View,Hotel,,,Location:5/5 | Hospitality:5/5 | Facilities:4/5 | Cleanliness:5/5 | Value for Money:5/5 | Food:5/5,,,,,,,,,,,,,,,,,,,
Nainital,India,29.42301,79.427487,The Hidden Valley Camps and Resorts,Hotel,,,,,,,,,,,,,,,,,,,,,,
Indore,India,0,0,Meraki Inn,Hotel,,,,,,,,,,,,,,,,,,,,,,
DEOGHAR,India,0,0,KAMLA HOTEL,Hotel,,,,,,,,,,,,,,,,,,,,,,
Palampur,India,32.2509,77.1845,Hotel Holiday Home,Hotel,,,,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,13.268812,75.719553,Tex Woods Resort,Hotel,,,,,,,,,,,,,,,,,,,,,,
MountAbu,India,24.589501,72.713886,Hotel Golden Veena,Hotel,,,,,,,,,,,,,,,,,,,,,,
MountAbu,India,24.5925,72.715556,Couples Paradise Hotel,Hotel,,,,,,,,,,,,,,,,,,,,,,
Pithoragarh,India,29.584397,80.218383,Baakhlee,Hotel,,,,,,,,,,,,,,,,,,,,,,
Varanasi,India,25.302,83.0075,Leela Guest House,Hotel,,,,,,,,,,,,,,,,,,,,,,
Tirupati,India,13.6294,79.4376,Best Western Tirupati,Hotel,,,Location:4.5/5 | Hospitality:4.6/5 | Facilities:4.5/5 | Cleanliness:4.8/5 | Value for Money:4.6/5 | Food:4.4/5,,,,,,,,,,,,,,,,,,,
Lachung,India,0,0,Kongchen Tashi Yangkhel,Hotel,,,,,,,,,,,,,,,,,,,,,,
Satna,India,24.573918,80.839918,Hotel Savera,Hotel,,,Location:4/5 | Hospitality:5/5 | Facilities:5/5 | Cleanliness:5/5 | Value for Money:5/5 | Food:5/5,,,,,,,,,,,,,,,,,,,
Shimoga,India,13.92969,75.570971,Royal Orchid Central,Hotel,,,Location:4.6/5 | Hospitality:4.4/5 | Facilities:4.3/5 | Cleanliness:4.5/5 | Value for Money:4.4/5 | Food:3.9/5,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.18128,91.741128,Hotel City Park,Hotel,,,Location:4.2/5 | Hospitality:4.3/5 | Facilities:3.9/5 | Cleanliness:4/5 | Value for Money:4.2/5 | Food:3.6/5,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.221584,76.315655,Ravine Hotel,Hotel,,,,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,12.982809,77.655044,Prakruthi Homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Gwalior,India,26.209875,78.187278,Hotel Royal Inn,Hotel,,,Location:4.5/5 | Hospitality:3.8/5 | Facilities:3.3/5 | Cleanliness:3.5/5 | Value for Money:3.8/5 | Food:3.6/5,,,,,,,,,,,,,,,,,,,
Indore,India,22.711088,75.875616,Hotel Rama Inn,Hotel,,,Location:3.5/5 | Hospitality:2.7/5 | Facilities:2.4/5 | Cleanliness:2.3/5 | Value for Money:2.6/5 | Food:1.9/5,,,,,,,,,,,,,,,,,,,
DEOGHAR,India,24.511849,86.696999,Hotel Park View,Hotel,,,,,,,,,,,,,,,,,,,,,,
Indore,India,22.2226,76.0387,Rewa Resort,Hotel,,,,,,,,,,,,,,,,,,,,,,
Idduki,India,9.602654,77.165802,Deervilla Home Stay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.112876,91.750938,Hotel Royal Heritage,Hotel,,,Location:3/5 | Hospitality:3/5 | Facilities:3/5 | Cleanliness:3.8/5 | Value for Money:3/5 | Food:3.5/5,,,,,,,,,,,,,,,,,,,
